lon	lat
CostaRica/INC-0187/2020	-58.4370894	-34.6075682
USA/PR-F6B1/2021	-66.613958	18.011564
USA/NY-Wadsworth-21010673-01/2021	-73.7907554	41.1763139
USA/TX-HMH-MCoV-10799/2020	-95.3676974	29.7589382
USA/TX-DSHS-2445/2020	-97.4134281	26.1291189
USA/WI-UW-377/2020	-89.4322174	43.0709273
USA/NY-PRL-2021_02_15_03F01/2021	-74.0060152	40.7127281
USA/NY-NYULH97/2021	-73.9598939	40.7896239
USA/AZ-WL-9900234/2020	-111.6546163	32.1112624
USA/LA-EVTL595/2020	-93.5959786	32.6676663
USA/LA-EVTL574/2020	-93.5959786	32.6676663
USA/LA-EVTL474/2020	-93.5959786	32.6676663
USA/PA-MGSC30-05/2020	-79.9900861	40.4416941
USA/IA-GMF-10147/2020	-91.850265	42.8420766
USA/PA-MGEL89/2020	-79.9760405	40.4597204
Canada/ON-S50/2020	-79.3839347	43.6534817
USA/WI-UW-384/2020	-89.4322174	43.0709273
USA/CA-ALSR-4602/2020	-93.7929922	42.9376255
Canada/ON-S351/2020	-79.3839347	43.6534817
USA/PA-MGEL70/2020	-79.9760405	40.4597204
USA/LA-GBCL-26684503/2020	-91.0899217	30.5254797
USA/DE-DHSS-F972766/2020	-100.7846477	33.1665316
USA/MT-BHDH-3696/2020	-111.044047	45.6794293
USA/DE-DHSS-F918481/2020	-100.7846477	33.1665316
USA/WI-UW-747/2020	-89.4322174	43.0709273
USA/MN-GMF-18787/2020	-91.7807784	43.9582272
USA/NY-Wadsworth-101072-01/2020	-74.2507287	41.3873306
Canada/ON-S1558/2020	-79.3839347	43.6534817
USA/PA-MGEL-00329/2020	-79.9760405	40.4597204
USA/MT-BHDH-4261/2020	-111.10513722509	44.6642902
USA/AK-PHL6652/2020	-149.894852	61.2163129
Mexico/ROO-InDRE-102/2020	-86.9206905837727	20.4320599
USA/SC-DHEC-0085/2020	-80.9176832	34.0190006
USA/MO-WUSTL-C1/2020	-90.2411165602464	38.6529545
USA/AL-HGSC-JGQY/2021	-86.022147	34.0371404
USA/DE-DHSS-F1047459/2021	-75.662956	39.6159851
USA/LA-EVTL2045/2021	-93.0761115	32.3231432
USA/IL-NM-2426/2020	-87.6244212	41.8755616
USA/IL-IDPH-BUR-S-0001278/2020	-89.5341179	41.4016294
CostaRica/INC-0083/2020	-82.9189842729849	8.8892463
CostaRica/INC-0095/2020	-40.873577	-3.7357783
USA/PA-MGEL-00422/2020	-79.9760405	40.4597204
USA/CA-CDPH-UC634/2020	-122.7776556	39.0505411
USA/WA-S4399/2020	-100.2178972	33.588178
USA/CA-CZB-13013/2020	-121.6846349	37.2333253
USA/WA-S3031/2020	-123.8658829	47.1744169
USA/WA-S3290/2020	-100.2178972	33.588178
USA/DE-DHSS-F1012236/2020	-77.2741121	36.9096897
USA/IA-GMF-37933/2020	-101.4271085	32.3047833
USA/MN-GMF-28226/2020	-91.7807784	43.9582272
USA/OR-OHSU-9288/2021	-122.4006413	45.5093799
USA/AZ-TG718004/2021	-111.6948197	35.9363252
Mexico/BCN-ALSR-5615/2020	-116.9646629	32.5010188
Mexico/BCN-ALSR-5603/2020	-116.9646629	32.5010188
USA/CA-CDPH-UC614/2020	-122.7776556	39.0505411
USA/CA-CZB-17031/2020	-121.6846349	37.2333253
USA/NY-NYCPHL-002256/2021	-74.0060152	40.7127281
CostaRica/INC-0205/2020	-76.298009	40.1601526
USA/OR-OHSU-9331/2021	-122.4006413	45.5093799
USA/WI-UW-3287/2021	-87.5807546062858	43.0180325
USA/AK-PHL6779/2021	-149.85784875	61.2222765
USA/CA-CZB-14879/2020	-117.8704931	33.7500378
USA/WI-WSLH-210989/2021	-91.1468287	45.8731634
USA/AK-PHL6814/2021	-149.4793288	62.3402481
USA/WA-S4868/2021	-122.2117983	47.0022547
USA/CA-IGI-3532/2021	-121.899142	37.6090291
USA/AZ-TG717734/2021	-111.6546163	32.1112624
USA/AZ-TG718048/2021	-111.6948197	35.9363252
Mexico/BCN-ALSR-6340/2021	-116.9646629	32.5010188
Mexico/BCN-ALSR-5708/2020	-116.9646629	32.5010188
USA/DE-DHSS-F1052001/2021	-100.7846477	33.1665316
Mexico/BCN-ALSR-4775/2020	-116.9646629	32.5010188
USA/AK-PHL6542/2020	-149.4793288	62.3402481
Canada/ON-E74b/2020	-75.690308	45.421106
USA/IL-NM-2870/2020	-85.8590603	41.6012796
USA/AZ-ASPHL-2912/2020	-114.476031572498	32.665135
Mexico/BCN-ALSR-6000/2020	-116.9646629	32.5010188
USA/IL-NM-4803/2020	-87.9939552	42.3327033
USA/IA-GMF-15767/2020	-91.850265	42.8420766
USA/IA-UIHC-MO20/2020	-91.6061124	41.6861834
USA/TX-HMH-MCoV-16073/2020	-95.3676974	29.7589382
USA/TX-HMH-MCoV-18081/2020	-95.3676974	29.7589382
USA/LA-EVTL1721/2021	-93.5265161	31.5223049
USA/LA-ALSR-5826/2020	-90.0701156	29.9499323
USA/MO-UW-771/2020	-90.5188127750124	38.6398744
USA/AK-PHL6592/2020	-149.85784875	61.2222765
USA/MT-BHDH-5399/2020	-111.044047	45.6794293
USA/OR-OHSU-9164/2021	-122.4006413	45.5093799
USA/WA-OHSU-4061/2020	-122.4940866	45.7669047
USA/LA-SR0154/2020	-90.0701156	29.9499323
USA/NE-CUMC-20258107/2020	-95.9383758	41.2587459
USA/OR-OHSU-3271/2020	-122.4006413	45.5093799
USA/OR-OHSU-4255/2020	-122.4006413	45.5093799
USA/OR-OHSU-4139/2020	-122.857533935248	45.56614365
USA/AZ-WL-CVG00126/2020	-111.6546163	32.1112624
USA/LA-EVTL1575/2021	-93.8931785	32.529173
USA/WA-S4466/2021	-100.2178972	33.588178
USA/LA-EVTL1937/2020	-93.8931785	32.529173
USA/LA-ALSR-5827/2020	-90.0701156	29.9499323
USA/LA-EVTL1089/2020	-93.8931785	32.529173
USA/WA-S3626/2020	-122.6474421	47.594502
USA/LA-EVTL1744/2021	-93.1427138	31.6464192
USA/AK-PHL6562/2020	-149.4793288	62.3402481
USA/DE-DHSS-F1020267/2020	-75.662956	39.6159851
USA/AK-PHL6560/2020	-149.680909	64.4459613
USA/LA-EVTL518/2020	-93.8931785	32.529173
USA/LA-EVTL1965/2020	-93.5959786	32.6676663
USA/IA-UIHC-MO30/2020	-91.6061124	41.6861834
USA/IL-IDPH-I-000808/2021	-87.756525	41.8197385
USA/WI-UW-2265/2020	-90.6991696	42.8855277
USA/DE-DHSS-FLW00757171/2021	-75.662956	39.6159851
USA/MT-BHDH-4922/2020	20.4568974	44.8178131
USA/OR-OHSU-7898/2020	-123.082293	45.9280203
USA/CA-CZB-15710/2020	-121.6846349	37.2333253
USA/OR-OHSU-PHL00019/2021	-122.4006413	45.5093799
USA/OR-OHSU-PHL00025/2021	-122.4006413	45.5093799
USA/OR-OHSU-PHL00023/2021	-122.4006413	45.5093799
USA/OR-OHSU-PHL00029/2021	-122.4006413	45.5093799
USA/HI-H200678/2020	-157.960511	21.468151
USA/HI-H200677/2020	-157.960511	21.468151
USA/WA-S3273/2020	-100.2178972	33.588178
USA/WA-S3268/2020	-100.2178972	33.588178
USA/WA-S3272/2020	-100.2178972	33.588178
USA/WA-S3166/2020	-122.2117983	47.0022547
USA/WA-S3098/2020	-123.7373472	47.9998383
USA/WA-OHSU-4924/2020	-122.4940866	45.7669047
USA/OR-OHSU-5356/2020	-122.857533935248	45.56614365
USA/WA-S3089/2020	-117.4074674	47.5354964
USA/OR-OHSU-9276/2021	-122.857533935248	45.56614365
USA/AK-PHL6815/2021	-149.4793288	62.3402481
USA/OR-OHSU-9376/2021	-122.4006413	45.5093799
USA/CA-CDPH-UC470/2020	-119.7737991	37.1716264
USA/WA-S3512/2020	-100.2178972	33.588178
USA/OR-OHSU-9335/2021	-122.4006413	45.5093799
USA/AZ-ASPHL-3246/2020	-112.49123	33.34883
USA/AK-PHL6616/2020	-149.4793288	62.3402481
USA/LA-EVTL1579/2021	-93.8931785	32.529173
USA/IL-IDPH-I-000234/2020	-88.8235511	42.321246
USA/AK-PHL6630/2020	-149.85784875	61.2222765
USA/OR-OHSU-9177/2021	-122.857533935248	45.56614365
USA/OR-OHSU-7942/2020	-122.4006413	45.5093799
USA/OR-OHSU-9259/2021	-122.857533935248	45.56614365
USA/TX-HMH-MCoV-16175/2020	-95.3676974	29.7589382
USA/HI-H210902/2021	-157.960511	21.468151
USA/WI-WSLH-201751/2020	-96.2574328	43.6733632
USA/LA-EVTL1877/2020	-93.8931785	32.529173
USA/TX-HMH-MCoV-18370/2020	-95.3676974	29.7589382
USA/TX-HMH-MCoV-15390/2020	-95.3676974	29.7589382
USA/HI-H200500/2020	-157.960511	21.468151
USA/AZ-ASPHL-2897/2020	-110.3549451	35.1819775
USA/WA-S4354/2021	-100.2178972	33.588178
USA/WI-UW-2332/2020	-89.4322174	43.0709273
USA/TX-HMH-MCoV-12479/2020	-95.3676974	29.7589382
USA/LA-EVTL1951/2020	-93.8931785	32.529173
USA/TX-HMH-MCoV-19473/2020	-95.3676974	29.7589382
USA/TX-HMH-MCoV-19799/2020	-95.3676974	29.7589382
USA/WA-S3449/2020	-120.730253	46.4135961
USA/AK-PHL6869/2020	-149.680909	64.4459613
USA/TX-HMH-MCoV-12469/2020	-95.3676974	29.7589382
USA/AK-PHL6812/2021	-149.4793288	62.3402481
USA/WI-UW-2373/2020	-85.5346302	37.2433976
USA/LA-EVTL1484/2020	-93.8931785	32.529173
USA/AL-HGSC-JGAC/2020	-86.5675095	34.7736807
USA/TX-DSHS-2051/2020	-97.6041649	30.6580927
USA/DE-DHSS-FLW00749233/2021	-100.7846477	33.1665316
USA/CA-CZB-13009/2020	-121.6846349	37.2333253
USA/WA-S3484/2020	-100.2178972	33.588178
USA/WA-S4370/2021	-122.2117983	47.0022547
USA/WA-OHSU-3985/2020	-122.4940866	45.7669047
USA/OR-OHSU-8767/2020	-122.2305038	45.1608821
USA/WA-S4810/2021	-122.4940866	45.7669047
USA/LA-EVTL1875/2020	-93.8931785	32.529173
USA/LA-EVTL1091/2020	-93.5959786	32.6676663
USA/LA-EVTL1403/2020	-93.5959786	32.6676663
USA/LA-EVTL1354/2020	-93.5959786	32.6676663
USA/LA-EVTL1452/2020	-93.5959786	32.6676663
USA/DE-DHSS-FLW00691577/2021	-77.2741121	36.9096897
USA/AK-PHL6610/2020	-149.4793288	62.3402481
USA/IL-NM-5046/2020	-87.756525	41.8197385
USA/AL-HGSC-JHLM/2021	-86.9164513	33.5228184
USA/WI-WSLH-210270/2021	-91.7971652	45.8926321
USA/IL-IDPH-COO-I-0001026/2021	-87.756525	41.8197385
USA/VA-SU-SC_36/2021	-78.279166	39.2127031
USA/AL-HGSC-JFTA/2020	-85.2654592	31.1355603
USA/AL-HGSC-JEQU/2020	-85.2654592	31.1355603
USA/DE-DHSS-F1009549/2020	-77.2741121	36.9096897
USA/DE-DHSS-F987027/2020	-77.2741121	36.9096897
USA/AL-HGSC-JFXS/2020	-82.8405691	31.5301809
USA/PA-MGEL-00963/2020	-79.9760405	40.4597204
USA/PA-MGEL-01093/2020	-79.9760405	40.4597204
USA/PA-MGEL-01149/2020	-79.9760405	40.4597204
USA/TX-DSHS-2365/2021	-96.7790069	32.7620405
USA/SC-DHEC-0057/2021	-79.3343041	33.4392245
USA/HI-H200542/2020	-157.960511	21.468151
USA/IN-PU-LH000094718/2020	-86.8879689	40.3916066
USA/LA-EVTL1090/2020	-93.8931785	32.529173
USA/WI-UW-3272/2021	-87.5807546062858	43.0180325
USA/NJ-NYULH134/2021	-81.6225075	30.9298212
USA/AL-HGSC-JGFI/2020	-86.5675095	34.7736807
USA/IA-GMF-23570/2020	-91.8563139	43.2677179
USA/IA-GMF-43363/2020	-91.8563139	43.2677179
USA/DE-DHSS-F1042804/2020	-77.2741121	36.9096897
USA/CA-ALSR-6016/2020	-117.1627728	32.7174202
USA/LA-EVTL1997/2021	-93.8931785	32.529173
USA/OR-OHSU-8691/2020	-122.857533935248	45.56614365
USA/PA-MGEL-00949/2020	-79.9760405	40.4597204
USA/OH-UW-2400/2020	-83.0076657	40.0283162
USA/OR-OHSU-3447/2020	-122.4006413	45.5093799
USA/AL-Clay-JEEZ/2020	-98.2123296	33.6856157
USA/DE-DHSS-F1047461/2021	-75.662956	39.6159851
USA/DE-DHSS-F1019096/2020	-100.7846477	33.1665316
USA/DE-DHSS-F1019092/2020	-100.7846477	33.1665316
USA/IL-NM-5197/2020	-87.756525	41.8197385
USA/AL-HGSC-JFWX/2020	-89.9324347	38.4616972
USA/AL-HGSC-JGDH/2020	-86.9901321	34.8342463
USA/AL-HGSC-JGNS/2021	-86.1999118	32.1672192
USA/IN-PU-LH000124570/2021	-86.8879689	40.3916066
USA/WI-GMF-31611/2020	-90.6397264	43.9416755
USA/DE-DHSS-FLW00406161/2020	-75.662956	39.6159851
USA/CA-CZB-16984/2020	-121.6846349	37.2333253
USA/AK-PHL6833/2021	-149.680909	64.4459613
USA/AK-PHL6832/2021	-149.680909	64.4459613
USA/AK-PHL6836/2021	-149.680909	64.4459613
USA/AK-PHL6808/2021	-149.4793288	62.3402481
USA/WA-S4882/2021	-100.2178972	33.588178
USA/WI-UW-2488/2020	-89.4322174	43.0709273
USA/AL-HGSC-JGQE/2021	-86.9164513	33.5228184
USA/IL-NM-2413/2020	-87.6244212	41.8755616
USA/WI-GMF-32806/2020	-91.0902393	43.8890516
USA/WI-UW-2828/2021	-87.5807546062858	43.0180325
USA/WI-UW-2385/2020	-89.4322174	43.0709273
USA/IA-GMF-27699/2020	-91.3961856	43.2961731
USA/IA-GMF-28426/2020	-91.3961856	43.2961731
USA/WI-UW-3330/2021	-83.2221527	29.9978185
USA/MN-GMF-38230/2020	-91.7807784	43.9582272
USA/WI-MPHL-U1050064/2021	-87.5807546062858	43.0180325
USA/AK-PHL6588/2020	-149.680909	64.4459613
USA/WI-UW-3322/2021	-85.5346302	37.2433976
USA/IA-GMF-28410/2020	-91.3961856	43.2961731
USA/IA-GMF-32164/2020	-91.3961856	43.2961731
USA/PA-MGEL-01094/2020	-79.9760405	40.4597204
USA/PA-MGEL-00960/2020	-79.9760405	40.4597204
USA/NY-PRL-2021_0210_06C12/2021	-74.0060152	40.7127281
USA/WI-WSLH-201510/2020	-88.7673031	43.0224668
USA/NY-Wadsworth-252054-01/2020	-76.7725493	42.1384667
USA/AK-PHL6589/2020	17.7736243	62.9217072
USA/IL-IDPH-I-000740/2020	-87.9939552	42.3327033
USA/IL-UW-1617/2020	-89.1496574	42.3255276
USA/IL-IDPH-I-000233/2020	-89.1496574	42.3255276
USA/IL-IDPH-I-000455/2020	-87.756525	41.8197385
USA/IL-NM-2478/2020	-87.9939552	42.3327033
USA/AL-SL-21020246152/2021	-85.3077038	32.5814796
USA/IA-GMF-47194/2021	-91.3961856	43.2961731
USA/IA-GMF-36354/2020	-91.3961856	43.2961731
USA/MN-GMF-38975/2020	-91.4685617	43.6624222
USA/IL-IDPH-I-000229/2020	-88.4319488	41.5853584
USA/IA-GMF-48948/2021	-91.8563139	43.2677179
USA/NY-PRL-2021_02_12_02D11/2021	-74.0060152	40.7127281
USA/CA-ALSR-3498/2020	-117.1627728	32.7174202
CostaRica/INC-0042/2020	-84.4674980076129	10.4624947
USA/WI-UW-845/2020	-89.4322174	43.0709273
USA/PA-MGEL-00793/2020	-79.9760405	40.4597204
USA/PA-MGEL-00967/2020	-79.9760405	40.4597204
Canada/ON-S52/2020	-79.3839347	43.6534817
Mexico/TLA-InDRE-106/2020	-98.6112926770883	19.55201735
USA/CA-CDPH-UC1269/2020	-122.6199638	38.0409144
CostaRica/INC-0058/2020	-84.4674980076129	10.4624947
USA/AK-PHL383/2020	-149.894852	61.2163129
Mexico/TAB-InDRE-105/2020	-93.6634408051158	17.7620967
USA/OR-OHSU-3975/2020	-122.4006413	45.5093799
USA/IA-UIHC-MO28/2020	-91.6061124	41.6861834
USA/IA-GMF-24556/2020	-91.850265	42.8420766
USA/IA-UIHC-MO24/2020	-91.6061124	41.6861834
USA/WI-UW-320/2020	-87.5807546062858	43.0180325
USA/IA-GMF-32590/2020	-91.3961856	43.2961731
USA/WI-GMF-28010/2020	-90.8938474	43.2271639
USA/IL-IDPH-I-000231/2020	-89.2888533	41.7459056
CostaRica/INC-0052/2020	-84.6218658823131	9.7072481
Panama/334036/2020	-79.6793266702984	8.98985635
CostaRica/INC-0080/2020	-83.481556286107	10.1493599
CostaRica/INC-0171/2020	-120.2422615	35.9776891
CostaRica/INC-0142/2020	-73.2829254149924	6.52548015
CostaRica/INC-0182/2020	-106.3022466	35.2197649
CostaRica/INC-0194/2020	-87.9426681	15.851465
USA/TX-HMH0313/2020	-95.3963667	29.939219
USA/TX-HMH-6041/2020	-95.3963667	29.939219
Canada/ON-E58/2020	-75.690308	45.421106
USA/IN-Lilly-IPB0173-09bc17/2020	-86.1583502	39.7683331
USA/OR-OHSU-0438/2020	-122.4006413	45.5093799
USA/TX-HMH-MCoV-15402/2020	-95.3676974	29.7589382
USA/TX-HMH-MCoV-12418/2020	-95.3676974	29.7589382
USA/TX-HMH-MCoV-16304/2020	-95.3676974	29.7589382
USA/AZ-ASPHL-2910/2020	-112.49123	33.34883
Mexico/BCN-ALSR-3624/2020	-114.290773141853	31.9939146
USA/CA-CDPH-UC1221/2020	-121.9059001	38.7184542
Mexico/BCN-ALSR-6339/2021	-116.9646629	32.5010188
USA/CA-CZB-3670/2020	-119.7737991	37.1716264
USA/CA-CZB-13115/2020	-119.7737991	37.1716264
USA/HI-H200170/2020	-157.960511	21.468151
USA/HI-H200582/2020	-157.960511	21.468151
USA/HI-H200562/2020	-156.3105232	20.7580586
USA/HI-H200567/2020	-156.3105232	20.7580586
USA/HI-H200611/2020	-157.960511	21.468151
USA/HI-H200674/2020	-157.960511	21.468151
USA/HI-H200703/2020	-157.960511	21.468151
USA/HI-H200642/2020	-157.960511	21.468151
USA/AZ-WL-CVG00116/2020	-111.6546163	32.1112624
USA/WI-WSLH-210298/2020	-87.5807546062858	43.0180325
USA/HI-H200180/2020	-157.960511	21.468151
USA/HI-H200392/2020	-157.960511	21.468151
USA/LA-EVTL1099/2020	-93.8931785	32.529173
USA/WA-S3416/2020	-120.730253	46.4135961
USA/AZ-ASPHL-3585/2021	-112.49123	33.34883
USA/HI-H210829/2020	-157.960511	21.468151
USA/HI-H200713/2020	-157.960511	21.468151
USA/HI-H210988/2021	-157.960511	21.468151
USA/HI-H210816/2021	-157.960511	21.468151
USA/HI-H210892/2021	-157.960511	21.468151
USA/HI-H200741/2020	-157.960511	21.468151
USA/HI-H200764/2020	-157.960511	21.468151
USA/HI-H200746/2020	-157.960511	21.468151
USA/NY-Wadsworth-253434-01/2020	-73.4471343	43.2294536
USA/NY-Wadsworth-269649-01/2020	-76.019111	41.5179097
USA/DE-DHSS-F1018845/2020	-100.7846477	33.1665316
USA/DE-DHSS-FLW00711319/2021	-100.7846477	33.1665316
USA/OR-OHSU-8941/2021	-122.857533935248	45.56614365
USA/OR-OHSU-8955/2021	-122.4006413	45.5093799
USA/NY-NYCPHL-001286/2020	-74.0060152	40.7127281
USA/DE-DHSS-F987155/2020	-77.2741121	36.9096897
USA/NY-Wadsworth-292229-01/2020	-73.9550230275334	40.64530975
USA/DE-DHSS-FLW00404994/2020	-100.7846477	33.1665316
Mexico/BCN-ALSR-1714/2020	-116.9646629	32.5010188
USA/AZ-ASPHL-3275/2020	-114.476031572498	32.665135
Mexico/BCN-ALSR-1712/2020	-116.9646629	32.5010188
Mexico/BCN-ALSR-2487/2020	-116.9646629	32.5010188
USA/TX-HMH-MCoV-16152/2020	-95.3676974	29.7589382
Mexico/BCN-ALSR-2553/2020	-116.9646629	32.5010188
Canada/ON-S1446/2020	-79.3839347	43.6534817
USA/DE-DHSS-FLW00571821/2020	-100.7846477	33.1665316
USA/NY-Wadsworth-21002968-01/2021	-73.7976337	40.7498243
USA/CA-ALSR-3720/2020	-117.1627728	32.7174202
USA/WA-S3611/2020	-120.730253	46.4135961
USA/CA-CZB-15155/2020	-121.6846349	37.2333253
Mexico/BCN-ALSR-5732/2020	-116.9646629	32.5010188
USA/OR-OHSU-7183/2020	-122.4006413	45.5093799
CostaRica/INC-0225/2021	-84.9009522046287	10.4837473
USA/NY-PRL-2021_02_12_04B10/2021	-74.0060152	40.7127281
USA/OR-OHSU-8944/2021	-122.4006413	45.5093799
Mexico/SON-InDRE-103/2020	-110.9692202	29.0948207
USA/AZ-ASPHL-2945/2020	-114.476031572498	32.665135
USA/AL-HGSC-JGFT/2020	-86.5675095	34.7736807
USA/DE-DHSS-F1019125/2020	-100.7846477	33.1665316
USA/DE-DHSS-FLW00407861/2020	-75.662956	39.6159851
USA/DE-DHSS-FLW00698606/2021	-77.2741121	36.9096897
USA/WA-S3480/2020	-100.2178972	33.588178
USA/LA-EVTL1904/2020	-93.8931785	32.529173
USA/LA-EVTL1081/2020	-93.5959786	32.6676663
USA/LA-EVTL1231/2020	-93.3285187	32.6358137
USA/IL-NM-2392/2020	-87.6244212	41.8755616
USA/LA-EVTL1556/2020	-93.8931785	32.529173
CostaRica/INC-0213/2020	-83.9687564	10.5925359
USA/AK-PHL6781/2021	-149.85784875	61.2222765
USA/PA-MGEL-00773/2020	-79.9760405	40.4597204
USA/PA-MGEL-01165/2020	-79.9760405	40.4597204
USA/AZ-WL-9900258/2020	-111.6546163	32.1112624
USA/DE-DHSS-F986809/2020	-77.2741121	36.9096897
USA/WA-S4011/2021	-123.8658829	47.1744169
Mexico/BCN-ALSR-1693/2020	-116.9646629	32.5010188
USA/CA-ALSR-5921/2020	-117.1627728	32.7174202
Mexico/BCN-ALSR-5773/2020	-116.9646629	32.5010188
USA/OR-OHSU-9213/2021	-122.857533935248	45.56614365
USA/WI-GMF-33907/2020	-91.0902393	43.8890516
USA/IL-IDPH-COO-I-0001012/2021	-87.756525	41.8197385
USA/IL-IDPH-JOH-C-001369/2020	-88.8844045	37.4501818
Canada/ON-E55/2020	-75.690308	45.421106
USA/OR-OHSU-PHL00041/2021	-123.2180414	45.2298399
USA/CA-CZB-14763/2020	-123.8997734	40.5997415
USA/NY-Wadsworth-292003-01/2020	-73.7907554	41.1763139
USA/DE-DHSS-FLW00750590/2021	-77.2741121	36.9096897
USA/DE-DHSS-FLW00761473/2021	-75.662956	39.6159851
USA/MO-WUSTL_E/2020	-90.2411165602464	38.6529545
Canada/LTRI-1617/2020	-79.3839347	43.6534817
CostaRica/INC-0064/2020	21.9877132	38.9953683
CostaRica/INC-0161/2020	-9.3658524	5.7499721
CostaRica/INC-0160/2020	-85.5506962685735	11.0090665
CostaRica/INC-0224/2021	-84.825728	10.1173153
USA/PA-MGEL-00255/2020	-79.9760405	40.4597204
USA/PA-MGEL-00733/2020	-79.9760405	40.4597204
CostaRica/INC-0084/2020	-84.0309429509653	9.91651155
CostaRica/INC-0105/2020	-117.8086012	33.6811803
CostaRica/INC-0061/2020	-85.5506962685735	11.0090665
CostaRica/INC-0078/2020	-84.4674980076129	10.4624947
